timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561393782340,814,HTTP Request-0,301,Moved Permanently,yogitest 1-5,,true,,279,115,18,18,http://yoginth.com/,814,0,279
1561393783155,3346,HTTP Request-1,200,OK,yogitest 1-5,text,true,,7982,115,18,18,https://yoginth.com/,3295,0,1100
1561393782344,4187,HTTP Request,200,OK,yogitest 1-15,text,true,,8261,230,17,17,https://yoginth.com/,797,0,270
1561393782344,797,HTTP Request-0,301,Moved Permanently,yogitest 1-15,,true,,279,115,17,17,http://yoginth.com/,797,0,270
1561393783142,3389,HTTP Request-1,200,OK,yogitest 1-15,text,true,,7982,115,17,17,https://yoginth.com/,3363,0,1112
1561393782340,4227,HTTP Request,200,OK,yogitest 1-6,text,true,,8261,230,16,16,https://yoginth.com/,828,0,279
1561393782340,828,HTTP Request-0,301,Moved Permanently,yogitest 1-6,,true,,279,115,16,16,http://yoginth.com/,828,0,279
1561393783169,3398,HTTP Request-1,200,OK,yogitest 1-6,text,true,,7982,115,16,16,https://yoginth.com/,3366,0,1097
1561393782342,4251,HTTP Request,200,OK,yogitest 1-11,text,true,,8261,230,15,15,https://yoginth.com/,795,0,273
1561393782342,795,HTTP Request-0,301,Moved Permanently,yogitest 1-11,,true,,279,115,15,15,http://yoginth.com/,795,0,273
1561393783138,3455,HTTP Request-1,200,OK,yogitest 1-11,text,true,,7982,115,15,15,https://yoginth.com/,3433,0,1110
1561393782347,4271,HTTP Request,200,OK,yogitest 1-27,text,true,,8261,230,14,14,https://yoginth.com/,503,0,234
1561393782347,503,HTTP Request-0,301,Moved Permanently,yogitest 1-27,,true,,279,115,14,14,http://yoginth.com/,503,0,234
1561393782851,3767,HTTP Request-1,200,OK,yogitest 1-27,text,true,,7982,115,14,14,https://yoginth.com/,3742,0,1203
1561393782341,4312,HTTP Request,200,OK,yogitest 1-9,text,true,,8261,230,13,13,https://yoginth.com/,834,0,278
1561393782341,835,HTTP Request-0,301,Moved Permanently,yogitest 1-9,,true,,279,115,13,13,http://yoginth.com/,834,0,278
1561393783176,3477,HTTP Request-1,200,OK,yogitest 1-9,text,true,,7982,115,13,13,https://yoginth.com/,3442,0,1116
1561393782350,4417,HTTP Request,200,OK,yogitest 1-36,text,true,,8261,230,12,12,https://yoginth.com/,435,0,217
1561393782350,435,HTTP Request-0,301,Moved Permanently,yogitest 1-36,,true,,279,115,12,12,http://yoginth.com/,435,0,217
1561393782786,3981,HTTP Request-1,200,OK,yogitest 1-36,text,true,,7982,115,12,12,https://yoginth.com/,3949,0,1211
1561393782347,4445,HTTP Request,200,OK,yogitest 1-31,text,true,,8261,230,11,11,https://yoginth.com/,476,0,234
1561393782347,476,HTTP Request-0,301,Moved Permanently,yogitest 1-31,,true,,279,115,11,11,http://yoginth.com/,476,0,234
1561393782826,3966,HTTP Request-1,200,OK,yogitest 1-31,text,true,,7982,115,11,11,https://yoginth.com/,3949,0,1185
1561393782346,4486,HTTP Request,200,OK,yogitest 1-25,text,true,,8261,230,10,10,https://yoginth.com/,540,0,240
1561393782346,540,HTTP Request-0,301,Moved Permanently,yogitest 1-25,,true,,279,115,10,10,http://yoginth.com/,540,0,240
1561393782887,3945,HTTP Request-1,200,OK,yogitest 1-25,text,true,,7982,115,10,10,https://yoginth.com/,3926,0,1186
1561393782298,5328,HTTP Request,200,OK,yogitest 1-3,text,true,,8261,230,9,9,https://yoginth.com/,885,0,331
1561393782298,885,HTTP Request-0,301,Moved Permanently,yogitest 1-3,,true,,279,115,9,9,http://yoginth.com/,885,0,331
1561393783184,4442,HTTP Request-1,200,OK,yogitest 1-3,text,true,,7982,115,9,9,https://yoginth.com/,3472,0,1131
1561393782343,5465,HTTP Request,200,OK,yogitest 1-13,text,true,,8261,230,8,8,https://yoginth.com/,769,0,271
1561393782343,769,HTTP Request-0,301,Moved Permanently,yogitest 1-13,,true,,279,115,8,8,http://yoginth.com/,769,0,271
1561393783113,4695,HTTP Request-1,200,OK,yogitest 1-13,text,true,,7982,115,8,8,https://yoginth.com/,3578,0,1093
1561393782340,5471,HTTP Request,200,OK,yogitest 1-7,text,true,,8261,230,8,8,https://yoginth.com/,836,0,280
1561393782340,836,HTTP Request-0,301,Moved Permanently,yogitest 1-7,,true,,279,115,8,8,http://yoginth.com/,836,0,280
1561393783178,4633,HTTP Request-1,200,OK,yogitest 1-7,text,true,,7982,115,8,8,https://yoginth.com/,4369,0,1114
1561393782343,5494,HTTP Request,200,OK,yogitest 1-14,text,true,,8261,230,6,6,https://yoginth.com/,841,0,277
1561393782343,841,HTTP Request-0,301,Moved Permanently,yogitest 1-14,,true,,279,115,6,6,http://yoginth.com/,841,0,277
1561393783184,4653,HTTP Request-1,200,OK,yogitest 1-14,text,true,,7982,115,6,6,https://yoginth.com/,4333,0,1105
1561393782308,5543,HTTP Request,200,OK,yogitest 1-1,text,true,,8261,230,5,5,https://yoginth.com/,898,0,322
1561393782308,898,HTTP Request-0,301,Moved Permanently,yogitest 1-1,,true,,279,115,5,5,http://yoginth.com/,898,0,322
1561393783207,4644,HTTP Request-1,200,OK,yogitest 1-1,text,true,,7982,115,5,5,https://yoginth.com/,4347,0,1118
1561393782339,5517,HTTP Request,200,OK,yogitest 1-4,text,true,,8261,230,5,5,https://yoginth.com/,846,0,291
1561393782339,846,HTTP Request-0,301,Moved Permanently,yogitest 1-4,,true,,279,115,5,5,http://yoginth.com/,846,0,291
1561393783186,4670,HTTP Request-1,200,OK,yogitest 1-4,text,true,,7982,115,5,5,https://yoginth.com/,4372,0,1103
1561393782347,5515,HTTP Request,200,OK,yogitest 1-26,text,true,,8261,230,4,4,https://yoginth.com/,501,0,235
1561393782347,501,HTTP Request-0,301,Moved Permanently,yogitest 1-26,,true,,279,115,4,4,http://yoginth.com/,501,0,235
1561393782852,5010,HTTP Request-1,200,OK,yogitest 1-26,text,true,,7982,115,4,4,https://yoginth.com/,4718,0,1202
1561393782345,5531,HTTP Request,200,OK,yogitest 1-17,text,true,,8261,230,2,2,https://yoginth.com/,728,0,246
1561393782345,728,HTTP Request-0,301,Moved Permanently,yogitest 1-17,,true,,279,115,2,2,http://yoginth.com/,728,0,246
1561393783074,4802,HTTP Request-1,200,OK,yogitest 1-17,text,true,,7982,115,2,2,https://yoginth.com/,3638,0,1081
1561393782345,5744,HTTP Request,200,OK,yogitest 1-23,text,true,,8268,230,1,1,https://yoginth.com/,722,0,247
1561393782345,722,HTTP Request-0,301,Moved Permanently,yogitest 1-23,,true,,279,115,1,1,http://yoginth.com/,722,0,247
1561393783068,5021,HTTP Request-1,200,OK,yogitest 1-23,text,true,,7989,115,1,1,https://yoginth.com/,3630,0,1087
